Pass,Result,Profit,Expected_Payoff,Profit_Factor,Recovery_Factor,Sharpe_Ratio,Custom,Equity_DD_%,Trades,ProfitTargetCoef1,StopLossCoef1,ProfitTargetCoef2,StopLossCoef2
14.0,95.37,18015.94,125.985594,1.717509,3.886364,2.426878,0.0,4.0286,143.0,4.93,11.0,28.21,11.52
13.0,92.04,19570.44,139.788857,1.689757,4.424538,1.99634,0.0,4.2088,140.0,9.57,20.0,7.13,22.56
3.0,90.27,18737.44,133.838857,1.638204,3.881726,1.956502,0.0,4.6229,140.0,9.28,13.5,6.51,10.08
5.0,90.13,17235.52,114.142517,1.584662,4.864806,2.289762,0.0,3.4185,151.0,8.12,4.75,26.97,12.72
7.0,89.93,16547.61,106.074423,1.56769,4.619773,2.43006,0.0,3.3038,156.0,6.96,4.0,16.43,12.24
15.0,85.21,16822.29,120.159214,1.545046,3.488683,1.796798,0.0,4.5101,140.0,14.79,8.75,6.2,14.88
1.0,84.69,17351.13,123.936643,1.557355,3.716886,1.70973,0.0,4.3155,140.0,18.27,18.5,20.15,23.76
8.0,84.65,16364.44,109.828456,1.516522,3.062844,1.962785,0.0,4.9899,149.0,27.55,5.25,9.92,14.88
4.0,84.65,16364.44,109.828456,1.516522,3.062844,1.962785,0.0,4.9899,149.0,22.62,5.25,24.49,17.04
0.0,82.9,16788.03,119.9145,1.530766,3.41691,1.654151,0.0,4.5682,140.0,20.3,16.0,28.21,24.0
9.0,81.83,15959.96,101.012405,1.612646,3.184845,2.515771,0.0,4.6441,158.0,22.04,2.5,14.88,17.52
10.0,81.56,15840.3,112.342553,1.489616,3.146369,1.698452,0.0,4.767,141.0,16.53,8.0,14.57,18.0
12.0,81.55,16011.73,114.3695,1.509559,3.333444,1.617142,0.0,4.5525,140.0,13.92,13.25,30.69,7.68
6.0,81.22,16236.25,115.973214,1.505272,3.251666,1.608054,0.0,4.7325,140.0,19.72,15.25,18.29,17.76
2.0,80.97,15971.86,114.084714,1.507646,3.126049,1.587603,0.0,4.7318,140.0,13.92,17.75,8.06,18.48
11.0,77.82,14577.09,92.260063,1.520636,2.770757,2.276182,0.0,4.9272,158.0,13.92,2.75,30.69,15.36
